Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
1,Cape Canaveral,Dragon Spacecraft Qualification Unit,U,LEO,SpaceX,Success,4 June 2010,18:45,F9v1.0,Failure (parachute)
2,Cape Canaveral,SpaceX COTS Demo Flight 1,U,LEO,NASA,Success,8 December 2010,15:43,F9v1.0,Failure (parachute)
3,Cape Canaveral,SpaceX COTS Demo Flight 2,525 kg,LEO,NASA,Success,22 May 2012,07:44,F9 v1.0,No attempt
4,Cape Canaveral,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,8 October 2012,00:35,F9 v1.0,No attempt
5,Cape Canaveral,SpaceX CRS-2,"4,877 kg",LEO,NASA,Success,1 March 2013,15:10,F9 v1.0,No attempt
6,Vandenberg,CASSIOPE,500 kg,Polar orbit,MDA,Success,29 September 2013,16:00,F9 v1.1,Failure (ocean)
7,Cape Canaveral,SES-8,"3,170 kg",GTO,SES,Success,3 December 2013,22:41,F9 v1.1,No attempt
8,Cape Canaveral,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,6 January 2014,22:06,F9 v1.1,No attempt
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,Success,18 April 2014,19:25,F9 v1.1,Controlled (ocean)
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,14 July 2014,15:15,F9 v1.1,Controlled (ocean)
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,5 August 2014,08:00,F9 v1.1,No attempt
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,7 September 2014,05:00,F9 v1.1,No attempt
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,21 September 2014,05:52,F9 v1.1,Failure (ocean)
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,10 January 2015,09:47,F9 v1.1,Failure ( JRTI
15,Cape Canaveral,DSCOVR,570 kg,,USAF,Success,11 February 2015,23:03,F9 v1.1,Controlled (ocean)
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,Success,2 March 2015,03:50,F9 v1.1,No attempt
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,Success,14 April 2015,20:10,F9 v1.1,Failure ( JRTI
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,Success,27 April 2015,23:03,F9 v1.1,No attempt
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,28 June 2015,14:21,F9 v1.1,Precluded  (drone ship)
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,Success,22 December 2015,01:29,F9 FT,Success ( LZ‑1
21,Vandenberg,Jason-3,553 kg,LEO,NASA,Success,17 January 2016,18:42,F9 v1.1[,Failure ( JRTI
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,Success,4 March 2016,23:35,F9 FT[,Failure ( OCISLY
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,8 April 2016,20:43,F9 FT[,Success ( OCISLY
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,6 May 2016,05:21,F9 FT[,Success ( OCISLY
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,Success,27 May 2016,21:39,F9 FT[,Success ( OCISLY
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,Success,15 June 2016,14:29,F9 FT[,Failure ( OCISLY
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,Success,18 July 2016,04:45,F9 FT[,Success ( LZ‑1
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,14 August 2016,05:26,F9 FT[,Success ( OCISLY
29,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,14 January 2017,17:54,F9FT[,Success ( JRTI
30,Kennedy,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,19 February 2017,14:39,F9FT[,Success ( LZ‑1
31,Kennedy,EchoStar 23,"5,600 kg",GTO,EchoStar,Success,16 March 2017,06:00,F9FT[,No attempt
32,Kennedy,SES-10,"5,300 kg",GTO,SES,Success,30 March 2017,22:27,F9FT[,Success ( OCISLY
33,Kennedy,NROL-76,C,LEO,NRO,Success,1 May 2017,11:15,F9FT[,Success ( LZ‑1
34,Kennedy,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,Success,15 May 2017,23:21,F9FT[,No attempt
35,Kennedy,SpaceX CRS-11,"2,708 kg",LEO,NASA,Success,3 June 2017,21:07,F9FT[,Success ( LZ‑1
36,Kennedy,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,Success,23 June 2017,19:10,F9FT[,Success ( OCISLY
37,Vandenberg,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,Success,25 June 2017,20:25,F9FT[,Success ( JRTI
38,Kennedy,Intelsat 35e,"6,761 kg",GTO,Intelsat,Success,5 July 2017,23:38,F9FT[,No attempt
39,Kennedy,SpaceX CRS-12,"3,310 kg",LEO,NASA,Success,14 August 2017,16:31,F9B4[,Success ( LZ‑1
40,Vandenberg,Formosat-5,475 kg,SSO,NSPO,Success,24 August 2017,18:51,F9FT[,Success ( JRTI
41,Kennedy,Boeing X-37B,"4,990 kg",LEO,USAF,Success,7 September 2017,14:00,F9B4[,Success ( LZ‑1
42,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,9 October 2017,12:37,F9B4[,Success ( JRTI
43,Kennedy,SES-11,"5,400 kg",GTO,SES S.A.,Success,11 October 2017,22:53:00,F9 FT[,Success ( OCISLY
44,Kennedy,Koreasat 5A,"3,500 kg",GTO,KT Corporation,Success,30 October 2017,19:34,F9B4[,Success ( OCISLY
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,15 December 2017,15:36,F9 FT[,Success ( LZ‑1
46,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,23 December 2017,01:27,F9 FT[,Controlled (ocean)
47,Cape Canaveral,Zuma,C,LEO,,Success,8 January 2018,01:00,F9B4,Success ( LZ‑1
48,Cape Canaveral,GovSat-1,"4,230 kg",GTO,SES,Success,31 January 2018,21:25,F9FT[,Controlled (ocean)
49,Vandenberg,Paz,"2,150 kg",SSO,Hisdesat,Success,22 February 2018,14:17,F9FT[,No attempt
50,Cape Canaveral,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,6 March 2018,05:33,F9B4[,Controlled (ocean)
51,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,30 March 2018,14:14,F9B4[,No attempt
52,Cape Canaveral,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,2 April 2018,20:30,F9B4[,No attempt
53,Cape Canaveral,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,18 April 2018,22:51,F9B4[,Success ( OCISLY
54,Kennedy,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,11 May 2018,20:14,F9B5303B1046-1260,Success ( OCISLY
55,Vandenberg,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,22 May 2018,19:47,F9B4[,No attempt
56,Cape Canaveral,SES-12,"5,384 kg",GTO,SES,Success,4 June 2018,04:45,F9B4[,No attempt
57,Cape Canaveral,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,29 June 2018,09:42,F9B4[,No attempt
58,Cape Canaveral,Telstar 19V,"7,075 kg",GTO,Telesat,Success,22 July 2018,05:50,F9B5,Success ( OCISLY
59,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,25 July 2018,11:39,F9B5341B1048-1342,Success ( JRTI
60,Cape Canaveral,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,7 August 2018,05:18,F9B5[,Success ( OCISLY
61,Cape Canaveral,Telstar 18V,"7,060 kg",GTO,Telesat,Success,10 September 2018,04:45,F9B5[,Success ( OCISLY
62,Vandenberg,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,8 October 2018,02:22,F9B5[,Success ( LZ‑4
63,Kennedy,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,15 November 2018,20:46,F9B5[,Success ( OCISLY
64,Vandenberg,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,3 December 2018,18:34:05,F9B5[,Success ( JRTI
65,Cape Canaveral,SpaceX CRS-16,"2,500 kg",LEO,NASA,Success,5 December 2018,18:16,F9B5[,Failure ( LZ‑1
66,Cape Canaveral,GPS III,"4,400 kg",MEO,USAF,Success,23 December 2018,13:51,F9B5[,No attempt
67,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,11 January 2019,15:31,F9 B5[,Success ( JRTI
68,Cape Canaveral,Nusantara Satu,"4,850 kg",GTO,PSN,Success,22 February 2019,01:45,F9 B5[,Success ( OCISLY
69,Kennedy,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,Success,2 March 2019,07:49,F9B5[]404,Success ( OCISLY
70,Cape Canaveral,SpaceX CRS-17,"2,495 kg",LEO,NASA,Success,4 May 2019,06:48,F9B5[,Success ( OCISLY
71,Cape Canaveral,Starlink,"13,620 kg",LEO,SpaceX,Success,24 May 2019,02:30,F9 B5[,Success ( OCISLY
72,Vandenberg,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,Success,12 June 2019,14:17,F9B5[,Success ( LZ‑4
73,Cape Canaveral,SpaceX CRS-18,"2,268 kg",LEO,NASA,Success,25 July 2019,22:01,F9 B5[,Success ( LZ‑1
74,Cape Canaveral,AMOS-17,"6,500 kg",GTO,Spacecom,Success,6 August 2019,23:23,F9 B5[,No attempt
75,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,11 November 2019,14:56,F9 B5,Success ( OCISLY
76,Cape Canaveral,SpaceX CRS-19,"2,617 kg",LEO,NASA,Success,5 December 2019,17:29,F9B5[,Success ( OCISLY
77,Cape Canaveral,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,Success,17 December 2019,00:10,F9 B5[,Success ( OCISLY
78,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,7 January 2020,02:19:21,F9 B5,Success ( OCISLY
79,Kennedy,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,Successful,19 January 2020,15:30,F9 B5,No attempt
80,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,29 January 2020,14:07,F9 B5,Success ( OCISLY
81,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,17 February 2020,15:05,F9 B5,Failure ( OCISLY
82,Cape Canaveral,SpaceX CRS-20,"1,977 kg",LEO,NASA,Success,7 March 2020,04:50,F9 B5,Success ( LZ‑1
83,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,18 March 2020,12:16,F9 B5,Failure ( OCISLY
84,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,22 April 2020,19:30,F9 B5,Success ( OCISLY
85,Kennedy,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,Success,30 May 2020,19:22,F9 B5B1058-131,Success ( OCISLY
86,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,4 June 2020,01:25,F9 B5,Success ( JRTI
87,Cape Canaveral,Starlink,"15,410 kg",LEO,SpaceX,Success,13 June 2020,09:21,F9 B5,Success ( OCISLY
88,Cape Canaveral,GPS III,"4,311 kg",MEO,U.S. Space Force,Success,30 June 2020,20:10:46,F9 B5,Success ( JRTI
89,Cape Canaveral,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,Success,20 July 2020,21:30,F9 B5[,Success ( JRTI
90,Kennedy,Starlink,"14,932 kg",LEO,SpaceX,Success,7 August 2020,05:12,F9 B5,Success ( OCISLY
91,Cape Canaveral,Starlink,"15,440 kg",LEO,SpaceX,Success,18 August 2020,14:31,F9 B5[,Success ( OCISLY
92,Cape Canaveral,SAOCOM 1B,"3,130 kg",SSO,CONAE,Success,30 August 2020,23:18,F9 B5,Success ( LZ‑1
93,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,3 September 2020,12:46:14,F9 B5[,Success ( OCISLY
94,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,6 October 2020,11:29:34,F9 B5[,Success ( OCISLY
95,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,18 October 2020,12:25:57,F9 B5[,Success ( OCISLY
96,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,24 October 2020,15:31:34,F9 B5,Success ( JRTI
97,Cape Canaveral,GPS III,"4,311 kg",MEO,USSF,Success,5 November 2020,23:24:23,F9 B5,Success ( OCISLY
98,Kennedy,Crew-1,"~12,500 kg",LEO,NASA,Success,16 November 2020,00:27,F9 B5B1061-195,Success ( JRTI
99,Vandenberg,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,Success,21 November 2020,17:17:08,F9 B5,Success ( LZ‑4
100,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,25 November 2020,02:13,F9 B5[,Success ( OCISLY
101,Kennedy,SpaceX CRS-21,"2,972 kg",LEO,NASA,Success,6 December 2020,16:17:08,F9 B5[,Success ( OCISLY
102,Cape Canaveral,SXM-7,"7,000 kg",GTO,Sirius XM,Success,13 December 2020,17:30:00,F9 B5,Success ( JRTI
103,Kennedy,NROL-108,C,LEO,NRO,Success,19 December 2020,14:00:00,F9 B5,Success ( LZ‑1
104,Cape Canaveral,Türksat 5A,"3,500 kg",GTO,Türksat,Success,8 January 2021,02:15,F9 B5,Success ( JRTI
105,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,20 January 2021,13:02:22,F9 B5[,Success ( JRTI
106,Cape Canaveral,Transporter-1,"~5,000 kg",SSO,,Success,24 January 2021,15:00,F9 B5[,Success ( OCISLY
107,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,4 February 2021,06:19,F9 B5[,Success ( OCISLY
108,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,16 February 2021,03:59:37,F9 B5,Failure ( OCISLY
109,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,4 March 2021,08:24:54,F9 B5[,Success ( OCISLY
110,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,11 March 2021,08:13:29,F9 B5[,Success ( JRTI
111,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,14 March 2021,10:01:26,F9 B5,Success ( OCISLY
112,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,24 March 2021,08:28:24,F9 B5[,Success ( OCISLY
113,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,7 April 2021,16:34:18,F9 B5,Success ( OCISLY
114,Kennedy,Crew-2,"~13,000 kg",LEO,NASA,Success,23 April 2021,09:49:02,F9 B5,Success ( OCISLY
115,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,29 April 2021,03:44:30,F9 B5,Success ( JRTI
116,Kennedy,Starlink,"15,600 kg",LEO,SpaceX,Success,4 May 2021,19:01:07,F9 B5[,Success ( OCISLY
117,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,9 May 2021,06:42:45,F9 B5,Success ( JRTI
118,Kennedy,Starlink,"15,440 kg",LEO,SpaceX,Success,15 May 2021,22:56,F9 B5,Success ( OCISLY
119,Cape Canaveral,Starlink,"15,600 kg",LEO,SpaceX,Success,26 May 2021,18:59:35,F9 B5,Success ( JRTI
120,Kennedy,SpaceX CRS-22,"3,328 kg",LEO,NASA,Success,3 June 2021,17:29:17,F9 B5,Success ( OCISLY
121,Cape Canaveral,SXM-8,"7,000 kg",GTO,Sirius XM,Success,6 June 2021,04:26,F9 B5,Success ( JRTI
